date,value
"March 2, 2020",18
"March 3, 2020",3
"March 4, 2020",30
"March 5, 2020",17
"March 6, 2020",37
"March 7, 2020",13
"March 8, 2020",17
"March 9, 2020",78
"March 10, 2020",63
"March 11, 2020",138
"March 12, 2020",391
"March 13, 2020",479
"March 14, 2020",261
"March 15, 2020",303
"March 16, 2020",1043
"March 17, 2020",1396
"March 18, 2020",1449
"March 19, 2020",1652
"March 20, 2020",1919
"March 21, 2020",806
"March 22, 2020",724
"March 23, 2020",2549
"March 24, 2020",2586
"March 25, 2020",2731
"March 26, 2020",2426
"March 27, 2020",2408
"March 28, 2020",1237
"March 29, 2020",781
"March 30, 2020",2441
"March 31, 2020",2274
"April 1, 2020",2383
"April 2, 2020",2412
"April 3, 2020",2241
"April 4, 2020",1138
"April 5, 2020",949
"April 6, 2020",3664
"April 7, 2020",2423
"April 8, 2020",1890
"April 9, 2020",2107
"April 10, 2020",1965
"April 11, 2020",854
"April 12, 2020",898
"April 13, 2020",2306
"April 14, 2020",2177
"April 15, 2020",2216
"April 16, 2020",2339
"April 17, 2020",2459
"April 18, 2020",981
"April 19, 2020",967
"April 20, 2020",2749
"April 21, 2020",2455
"April 22, 2020",2531
"April 23, 2020",2606
"April 24, 2020",3010
"April 25, 2020",1172
"April 26, 2020",893
"April 27, 2020",3539
"April 28, 2020",4064
"April 29, 2020",3846
"April 30, 2020",4117
"May 1, 2020",5141
"May 2, 2020",6576
"May 3, 2020",1636
"May 4, 2020",5739
"May 5, 2020",5855
"May 6, 2020",5767
"May 7, 2020",7149
"May 8, 2020",7112
"May 9, 2020",10999
"May 10, 2020",2157
"May 11, 2020",8246
"May 12, 2020",8153
"May 13, 2020",7520
"May 14, 2020",7338
"May 15, 2020",9945
"May 16, 2020",12466
"May 17, 2020",3326
"May 18, 2020",9177
"May 19, 2020",8089
"May 20, 2020",6977
"May 21, 2020",7833
"May 22, 2020",8397
"May 23, 2020",6495
"May 24, 2020",3403
"May 25, 2020",3184
"May 26, 2020",9208
"May 27, 2020",8489
"May 28, 2020",9386
"May 29, 2020",11224
"May 30, 2020",9750
"May 31, 2020",3486
"June 1, 2020",11127
"June 2, 2020",11236
"June 3, 2020",11156
"June 4, 2020",12302
"June 5, 2020",13973
"June 6, 2020",6386
"June 7, 2020",4820
"June 8, 2020",14578
"June 9, 2020",15351
"June 10, 2020",15336
"June 11, 2020",15374
"June 12, 2020",16645
"June 13, 2020",9484
"June 14, 2020",6383
"June 15, 2020",17929
"June 16, 2020",18260
"June 17, 2020",18042
"June 18, 2020",21048
"June 19, 2020",22659
"June 20, 2020",13323
"June 21, 2020",7746
"June 22, 2020",22614
"June 23, 2020",24338
"June 24, 2020",24188
"June 25, 2020",23878
"June 26, 2020",23964
"June 27, 2020",13858
"June 28, 2020",9628
"June 29, 2020",26837
"June 30, 2020",27077
"July 1, 2020",26665
"July 2, 2020",26864
"July 3, 2020",17663
"July 4, 2020",8176
"July 5, 2020",8546
"July 6, 2020",25584
"July 7, 2020",26433
"July 8, 2020",25102
"July 9, 2020",26008
"July 10, 2020",23770
"July 11, 2020",12663
"July 12, 2020",8540
"July 13, 2020",22403
"July 14, 2020",24481
"July 15, 2020",23718
"July 16, 2020",20993
"July 17, 2020",22202
"July 18, 2020",12856
"July 19, 2020",7377
"July 20, 2020",19177
"July 21, 2020",19241
"July 22, 2020",18713
"July 23, 2020",16391
"July 24, 2020",16356
"July 25, 2020",11747
"July 26, 2020",7692
"July 27, 2020",19435
"July 28, 2020",17501
"July 29, 2020",16627
"July 30, 2020",15858
"July 31, 2020",17133
"August 1, 2020",11776
"August 2, 2020",6715
"August 3, 2020",17593
"August 4, 2020",16099
"August 5, 2020",16695
"August 6, 2020",14848
"August 7, 2020",14548
"August 8, 2020",9327
"August 9, 2020",7770
"August 10, 2020",18273
"August 11, 2020",18083
"August 12, 2020",17606
"August 13, 2020",14267
"August 14, 2020",16561
"August 15, 2020",9567
"August 16, 2020",7182
"August 17, 2020",17844
"August 18, 2020",17994
"August 19, 2020",19027
"August 20, 2020",14746
"August 21, 2020",16079
"August 22, 2020",7835
"August 23, 2020",6296
"August 24, 2020",18211
"August 25, 2020",17701
"August 26, 2020",21052
"August 27, 2020",14780
"August 28, 2020",14127
"August 29, 2020",6374
"August 30, 2020",4381
"August 31, 2020",20217
"September 1, 2020",20440
"September 2, 2020",17765
"September 3, 2020",16113
"September 4, 2020",16200
"September 5, 2020",4933
"September 6, 2020",4361
"September 7, 2020",4598
"September 8, 2020",19364
"September 9, 2020",18547
"September 10, 2020",15423
"September 11, 2020",15735
"September 12, 2020",7359
"September 13, 2020",5386
"September 14, 2020",19416
"September 15, 2020",19513
"September 16, 2020",20536
"September 17, 2020",17305
"September 18, 2020",16604
"September 19, 2020",8637
"September 20, 2020",7311
"September 21, 2020",22009
"September 22, 2020",22537
"September 23, 2020",20657
"September 24, 2020",18384
"September 25, 2020",17216
"September 26, 2020",9121
"September 27, 2020",6768
"September 28, 2020",19739
"September 29, 2020",19761
"September 30, 2020",23288
"October 1, 2020",20605
"October 2, 2020",20263
"October 3, 2020",10855
"October 4, 2020",7736
"October 5, 2020",24614
"October 6, 2020",25124
"October 7, 2020",23636
"October 8, 2020",21827
"October 9, 2020",20065
"October 10, 2020",10431
"October 11, 2020",8116
"October 12, 2020",23141
"October 13, 2020",23565
"October 14, 2020",25387
"October 15, 2020",22484
"October 16, 2020",21846
"October 17, 2020",12783
"October 18, 2020",10389
"October 19, 2020",28046
"October 20, 2020",28762
